,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
246,ACAD-1246,ACAD,Acadia,Passeriformes,Emberizidae,Spizella pusilla,"Eastern Field Sparrow, Field Sparrow",Approved,Present,Native,Rare,Breeder,Least Concern,False
249,ACAD-1249,ACAD,Acadia,Passeriformes,Emberizidae,Zonotrichia leucophrys,"Eastern White-Crowned Sparrow, White-Crowned Sparrow",Approved,Not Present (Historical Report),Native,Unknown,Migratory,Least Concern,False
250,ACAD-1250,ACAD,Acadia,Passeriformes,Emberizidae,Zonotrichia querula,"Harris' Sparrow, Harris's Sparrow",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
251,ACAD-1251,ACAD,Acadia,Passeriformes,Fringillidae,Carduelis flammea,"Common Redpoll, Greater Redpoll, Mealy Redpoll",Approved,Not Present (Historical Report),Native,Unknown,Resident,Least Concern,False
252,ACAD-1252,ACAD,Acadia,Passeriformes,Fringillidae,Carduelis hornemanni,"Coues' Hoary Redpoll, Hoary Redpoll",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
253,ACAD-1253,ACAD,Acadia,Passeriformes,Fringillidae,Carduelis pinus,"Northern Pine Siskin, Pine Siskin",Approved,Present,Native,Abundant,Breeder,Least Concern,False
254,ACAD-1254,ACAD,Acadia,Passeriformes,Fringillidae,Carduelis tristis,"American Goldfinch, Eastern American Goldfinch, Eastern Goldfinch, Goldfinch",Approved,Present,Native,Abundant,Breeder,Least Concern,False
256,ACAD-1256,ACAD,Acadia,Passeriformes,Fringillidae,Carpodacus purpureus,"Eastern Purple Finch, Purple Finch",Approved,Present,Native,Abundant,Breeder,Least Concern,False
257,ACAD-1257,ACAD,Acadia,Passeriformes,Fringillidae,Coccothraustes vespertinus,"Eastern Evening Grosbeak, Evening Grosbeak",Approved,Not Present (Historical Report),Native,Unknown,Unknown,Least Concern,False
259,ACAD-1259,ACAD,Acadia,Passeriformes,Fringillidae,Loxia leucoptera,White-Winged Crossbill,Approved,Present,Unknown,Unknown,Unknown,Least Concern,False
260,ACAD-1260,ACAD,Acadia,Passeriformes,Fringillidae,Pinicola enucleator,"Canadian Pine Grosbeak, Newfoundland Pine Grosbeak, Pine Grosbeak",Approved,Not Present (Historical Report),Native,Unknown,Resident,Least Concern,False
